管材类型,f采用值（上限）,f下限,Q_target (m³/s),n_unpr,i_unpr_str,i_unpr_val,D (m),水力计算内径 di (mm),公称外径 DN (mm),公称壁厚 en (mm),PE材料等级,PE公称压力 PN (MPa),PE标准尺寸比 SDR,产品标准,y_unpr (m),v_unpr (m/s),y/D_unpr,V_press (m/s),hf_press (m/km),hf_local_press (m/km),hf_total_press (m/km),h_loss_total (m),hf_press_f下限 (m/km),hf_local_press_f下限 (m/km),hf_total_press_f下限 (m/km),h_loss_total_f下限 (m),净空高度 (m),净空面积 (%),净空高<0.4m,净空面积(%)<15,Q_full_unpr (m³/s),Q_max_unpr (m³/s),加大比例 (%),分类,备注,产品族,产品型式,产品规格ID,公称口径代号,公称口径 (mm),口径基准,产品外径 (mm),产品公称壁厚 (mm),水力内径取值依据,等级体系,等级代码,内衬代号,内衬厚度 (mm),两端最小内径 (mm),两端最大内径 (mm),设计内径允许偏差 (mm),产品规格依据,规格表定位,钢管壁厚选取,钢管尺寸计算过程,钢管所需最小水力内径 (mm),钢管上取公称外径 DN (mm),钢管最小推荐档
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.1762,176.2,200,11.9,PE100,1.0,17.0,GB/T 13663.2—2018,,,,4.1010806544491505,97.6551912385319,14.648278685779784,112.30346992431168,112.30346992431168,,,,,,,False,False,0.009715218968962224,0.010450720593380328,30.0,兜底,Q>0.0105(Q_max_unpr),PE,,PE|PE100|PN1|dn200,DN,200.0,公称外径,200.0,11.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.1982,198.2,225,13.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,3.2411775218519727,55.713326015438916,8.356998902315837,64.07032491775476,64.07032491775476,,,,,,,False,False,0.01329576252817359,0.014302333246609348,30.0,兜底,Q>0.0143(Q_max_unpr),PE,,PE|PE100|PN1|dn225,DN,225.0,公称外径,225.0,13.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.2204,220.4,250,14.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.6211202053335683,33.575633229480985,5.036344984422148,38.611978213903136,38.611978213903136,,,,,,,False,False,0.017646872847659565,0.018982849286978035,30.0,兜底,Q>0.0190(Q_max_unpr),PE,,PE|PE100|PN1|dn250,DN,250.0,公称外径,250.0,14.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.24680000000000002,246.8,280,16.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.0903538464717304,19.572986934833484,2.9359480402250226,22.508934975058505,22.508934975058505,,,,,,,False,False,0.02386110747762758,0.025667539567967256,30.0,兜底,Q>0.0257(Q_max_unpr),PE,,PE|PE100|PN1|dn280,DN,280.0,公称外径,280.0,16.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.2776,277.6,315,18.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.6522326309899524,11.169472535349188,1.6754208803023782,12.844893415651566,12.844893415651566,,,,,,,False,False,0.03265041813380629,0.035122254914023515,30.0,兜底,Q>0.0351(Q_max_unpr),PE,,PE|PE100|PN1|dn315,DN,315.0,公称外径,315.0,18.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.3128,312.8,355,21.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.3012976031349164,6.320058912023795,0.9480088368035692,7.268067748827364,7.268067748827364,,,,,,,False,False,0.04488985139179828,0.04828828829003339,30.0,兜底,Q>0.0483(Q_max_unpr),PE,,PE|PE100|PN1|dn355,DN,355.0,公称外径,355.0,21.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.3526,352.6,400,23.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.0241073962959886,3.5694959068992698,0.5354243860348904,4.10492029293416,4.10492029293416,,,,,,,False,False,0.061781199671014565,0.06645841516782434,30.0,经济,Q>0.0665(Q_max_unpr),PE,,PE|PE100|PN1|dn400,DN,400.0,公称外径,400.0,23.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.3966,396.6,450,26.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,0.8094773455963962,2.037047102148635,0.30555706532229526,2.3426041674709306,2.3426041674709306,,,,,,,False,False,0.08453646350581244,0.09093639195104115,30.0,妥协,Q>0.0909(Q_max_unpr),PE,,PE|PE100|PN1|dn450,DN,450.0,公称外径,450.0,26.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.44060000000000005,440.6,500,29.7,PE100,1.0,17.0,GB/T 13663.2—2018,0.3248180664533395,0.8299202871455345,0.7372175816008613,0.6558750842664939,1.2332504044212915,0.18498756066319372,1.4182379650844852,1.4182379650844852,,,,,0.11578193354666055,20.971315628114063,True,False,0.1119151368600639,0.1203877986930626,30.0,妥协,,PE,,PE|PE100|PN1|dn500,DN,500.0,公称外径,500.0,29.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.49360000000000004,493.6,560,33.2,PE100,1.0,17.0,GB/T 13663.2—2018,0.292762173754959,0.8457898488230569,0.59311623532204,0.5225884616179326,0.7173713480634895,0.10760570220952341,0.8249770502730128,0.8249770502730128,,,,,0.20083782624504104,38.21296598142779,True,False,0.15150858844444917,0.16297871724650642,30.0,兜底,,PE,,PE|PE100|PN1|dn560,DN,560.0,公称外径,560.0,33.2,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.5552,555.2,630,37.4,PE100,1.0,17.0,GB/T 13663.2—2018,0.27181171919267244,0.8486449466845197,0.48957442217700364,0.4130581577474881,0.40937336731072294,0.061406005096608436,0.47077937240733136,0.47077937240733136,,,,,0.2833882808073276,51.32732960218276,True,False,0.20731723237122276,0.2230124175920647,30.0,兜底,,PE,,PE|PE100|PN1|dn630,DN,630.0,公称外径,630.0,37.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.6257999999999999,625.8,710,42.1,PE100,1.0,17.0,GB/T 13663.2—2018,0.25578941033798563,0.8456612205855799,0.40873986950780705,0.3251164925603858,0.23128415551068843,0.034692623326603264,0.2659767788372917,0.2659767788372917,,,,,0.3700105896620143,61.55475920543475,True,False,0.2852758487344624,0.3068729790535809,30.0,兜底,,PE,,PE|PE100|PN1|dn710,DN,710.0,公称外径,710.0,42.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.7052,705.2,800,47.4,PE100,1.0,17.0,GB/T 13663.2—2018,0.24280179025961643,0.8394012020758802,0.34430202816167954,0.25602684907399714,0.13082592346098768,0.01962388851914815,0.15044981198013582,0.15044981198013582,,,,,0.4623982097403836,69.498870332705,False,False,0.39228616539850353,0.4219846325981749,30.0,兜底,,PE,,PE|PE100|PN1|dn800,DN,800.0,公称外径,800.0,47.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.7934,793.4,900,53.3,PE100,1.0,17.0,GB/T 13663.2—2018,0.23189427576137214,0.8312140767368444,0.29227914766999263,0.20226732287260418,0.07457027105373476,0.011185540658060213,0.08575581171179497,0.08575581171179497,,,,,0.5615057242386279,75.66603736228106,False,False,0.5371340767482764,0.5777984186679807,30.0,兜底,,PE,,PE|PE100|PN1|dn900,DN,900.0,公称外径,900.0,53.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,0.8814,881.4,1000,59.3,PE100,1.0,17.0,GB/T 13663.2—2018,0.22329923968167675,0.822767517822655,0.2533460854114781,0.16389436663374501,0.045151072105484066,0.00677266081582261,0.05192373292130668,0.05192373292130668,,,,,0.6581007603183232,80.08011217221242,False,False,0.7110469956571213,0.764877611520151,30.0,兜底,,PE,,PE|PE100|PN1|dn1000,DN,1000.0,公称外径,1000.0,59.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,1.0642,1064.2,1200,67.9,PE100,1.0,17.0,GB/T 13663.2—2018,0.20983171924397773,0.8058760009095557,0.19717319981580317,0.11242518462915753,0.018375644186766512,0.0027563466280149766,0.02113199081478149,0.02113199081478149,,,,,0.8543682807560223,86.04931968413648,False,False,1.1753454440047104,1.264326298278778,30.0,兜底,,PE,,PE|PE100|PN1|dn1200,DN,1200.0,公称外径,1200.0,67.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,1.2352,1235.2,1400,82.4,PE100,1.0,17.0,GB/T 13663.2—2018,0.20048089209949982,0.7915004762636865,0.16230642171267795,0.08345177004117105,0.009027274682657195,0.0013540912023985792,0.010381365885055773,0.010381365885055773,,,,,1.0347191079005003,89.45651044518522,False,False,1.748784400425379,1.8811780985374968,30.0,兜底,,PE,,PE|PE100|PN1|dn1400,DN,1400.0,公称外径,1400.0,82.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,1.4118,1411.8,1600,94.1,PE100,1.0,17.0,GB/T 13663.2—2018,0.19283001657436016,0.7781470128774837,0.1365845137939936,0.06387983173731845,0.004772274764782346,0.0007158412147173519,0.0054881159794996975,0.0054881159794996975,,,,,1.2189699834256398,91.79077594848056,False,False,2.497460661045349,2.6865337410230183,30.0,兜底,,PE,,PE|PE100|PN1|dn1600,DN,1600.0,公称外径,1600.0,94.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,1.5882,1588.2,1800,105.9,PE100,1.0,17.0,GB/T 13663.2—2018,0.18655757957899083,0.7661588915756808,0.11746479006358823,0.05047772058000139,0.002721609003238247,0.00040824135048573705,0.003129850353723984,0.003129850353723984,,,,,1.4016424204210092,93.41158588185422,False,False,3.4186189352536966,3.6774293427368923,30.0,兜底,,PE,,PE|PE100|PN1|dn1800,DN,1800.0,公称外径,1800.0,105.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/500,0.002,1.7648,1764.8,2000,117.6,PE100,1.0,17.0,GB/T 13663.2—2018,0.18125621910949996,0.7553183884710029,0.10270637982179281,0.04088077575968722,0.001645909627839331,0.00024688644417589965,0.0018927960720152306,0.0018927960720152306,,,,,1.5835437808905,94.58761015438238,False,False,4.528539597459092,4.871377802219459,30.0,兜底,,PE,,PE|PE100|PN1|dn2000,DN,2000.0,公称外径,2000.0,117.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.027399999999999997,27.4,32,2.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,169.59341796781436,699960.1452937264,104994.02179405895,804954.1670877853,804954.1670877853,,,,,,,False,False,5.547015600479326e-05,5.966958681315613e-05,30.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn32,DN,32.0,公称外径,32.0,2.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.0352,35.2,40,2.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,102.7601647029283,211901.9691368925,31785.295370533873,243687.26450742636,243687.26450742636,,,,,,,False,False,0.0001081861474596065,0.00011637650193852124,30.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn40,DN,40.0,公称外径,40.0,2.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.044,44.0,50,3.0,PE100,1.0,17.0,GB/T 13663.2—2018,,,,65.76650540987411,73092.73798330878,10963.910697496316,84056.6486808051,84056.6486808051,,,,,,,False,False,0.0001961545367187871,0.00021100463745810777,30.0,兜底,Q>0.0002(Q_max_unpr),PE,,PE|PE100|PN1|dn50,DN,50.0,公称外径,50.0,3.0,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.0554,55.4,63,3.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,41.48495173712556,24355.77310221895,3653.3659653328427,28009.139067551794,28009.139067551794,,,,,,,False,False,0.00036259119948489204,0.0003900415757525649,30.0,兜底,Q>0.0004(Q_max_unpr),PE,,PE|PE100|PN1|dn63,DN,63.0,公称外径,63.0,3.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.066,66.0,75,4.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,29.22955795994405,10566.20238108593,1584.9303571628895,12151.13273824882,12151.13273824882,,,,,,,False,False,0.0005783291032958937,0.0006221121612260675,30.0,兜底,Q>0.0006(Q_max_unpr),PE,,PE|PE100|PN1|dn75,DN,75.0,公称外径,75.0,4.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.0792,79.2,90,5.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,20.298304138850032,4428.17097634125,664.2256464511875,5092.3966227924375,5092.3966227924375,,,,,,,False,False,0.0009404268873152726,0.0010116229669380392,30.0,兜底,Q>0.0010(Q_max_unpr),PE,,PE|PE100|PN1|dn90,DN,90.0,公称外径,90.0,5.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.0968,96.8,110,6.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,13.588120952453329,1700.2705905195417,255.04058857793123,1955.3111790974729,1955.3111790974729,,,,,,,False,False,0.0016059259131974795,0.0017275043481895678,30.0,兜底,Q>0.0017(Q_max_unpr),PE,,PE|PE100|PN1|dn110,DN,110.0,公称外径,110.0,6.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.1102,110.2,125,7.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,10.484480821334273,916.0882049490918,137.41323074236377,1053.5014356914555,1053.5014356914555,,,,,,,False,False,0.0022692140915358625,0.002441007507187035,30.0,兜底,Q>0.0024(Q_max_unpr),PE,,PE|PE100|PN1|dn125,DN,125.0,公称外径,125.0,7.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.12340000000000001,123.4,140,8.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,8.361415385886922,534.0355710962359,80.10533566443539,614.1409067606713,614.1409067606713,,,,,,,False,False,0.003068303477636572,0.0033005928577544224,30.0,兜底,Q>0.0033(Q_max_unpr),PE,,PE|PE100|PN1|dn140,DN,140.0,公称外径,140.0,8.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.141,141.0,160,9.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,6.404303328480273,282.72768028478686,42.40915204271803,325.13683232750486,325.13683232750486,,,,,,,False,False,0.0043783336470560015,0.004709800340698432,30.0,兜底,Q>0.0047(Q_max_unpr),PE,,PE|PE100|PN1|dn160,DN,160.0,公称外径,160.0,9.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.1586,158.6,180,10.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,5.061785678021127,161.3233806745643,24.198507101184646,185.52188777574895,185.52188777574895,,,,,,,False,False,0.005991465198528926,0.006445055838147137,30.0,兜底,Q>0.0064(Q_max_unpr),PE,,PE|PE100|PN1|dn180,DN,180.0,公称外径,180.0,10.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.1762,176.2,200,11.9,PE100,1.0,17.0,GB/T 13663.2—2018,,,,4.1010806544491505,97.6551912385319,14.648278685779784,112.30346992431168,112.30346992431168,,,,,,,False,False,0.007932443071121844,0.008532977632726015,30.0,兜底,Q>0.0085(Q_max_unpr),PE,,PE|PE100|PN1|dn200,DN,200.0,公称外径,200.0,11.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.1982,198.2,225,13.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,3.2411775218519727,55.713326015438916,8.356998902315837,64.07032491775476,64.07032491775476,,,,,,,False,False,0.010855944645080714,0.011677806195145473,30.0,兜底,Q>0.0117(Q_max_unpr),PE,,PE|PE100|PN1|dn225,DN,225.0,公称外径,225.0,13.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.2204,220.4,250,14.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.6211202053335683,33.575633229480985,5.036344984422148,38.611978213903136,38.611978213903136,,,,,,,False,False,0.014408611344180358,0.015499431539083884,30.0,兜底,Q>0.0155(Q_max_unpr),PE,,PE|PE100|PN1|dn250,DN,250.0,公称外径,250.0,14.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.24680000000000002,246.8,280,16.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.0903538464717304,19.572986934833484,2.9359480402250226,22.508934975058505,22.508934975058505,,,,,,,False,False,0.019482512672631916,0.020957458298072384,30.0,兜底,Q>0.0210(Q_max_unpr),PE,,PE|PE100|PN1|dn280,DN,280.0,公称外径,280.0,16.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.2776,277.6,315,18.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.6522326309899524,11.169472535349188,1.6754208803023782,12.844893415651566,12.844893415651566,,,,,,,False,False,0.026658954772113462,0.028677201051772218,30.0,兜底,Q>0.0287(Q_max_unpr),PE,,PE|PE100|PN1|dn315,DN,315.0,公称外径,315.0,18.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.3128,312.8,355,21.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.3012976031349164,6.320058912023795,0.9480088368035692,7.268067748827364,7.268067748827364,,,,,,,False,False,0.03665241017975702,0.03942722228766462,30.0,兜底,Q>0.0394(Q_max_unpr),PE,,PE|PE100|PN1|dn355,DN,355.0,公称外径,355.0,21.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,0.1,0.014,1/750,0.0013333333333333333,0.3526,352.6,400,23.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.0241073962959886,3.5694959068992698,0.5354243860348904,4.10492029293416,4.10492029293416,,,,,,,False,False,0.05044413829699654,0.054263068758403914,30.0,经济,Q>0.0543(Q_max_unpr),PE,,PE|PE100|PN1|dn400,DN,400.0,公称外径,400.0,23.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
